ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2010-01-20;;01;12D;6;20100120;8;4;AA;;5;1500;2035;;4755;1795;1440;02;1998;103;4;true;;Mazda;6 Sedan (AA) 4ov 1998cm3;1;6;6;05;e1*01/116*0448*02;02;241;147;245939;944;JMZGH12D60;3188184
M1;2010-01-29;;01;4C9HX*;4C9HXC/1;20100129;6;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;734;120;122363;241;VF34C9HXC5;3188288
M1;2010-01-29;;01;4C9HX*;4C9HXC/1;20100129;6;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;927;120;158594;031;VF34C9HXC5;3188289
M1;2010-01-29;;01;4C9HX*;4C9HXC/1;20100129;6;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;186;120;142962;044;VF34C9HXC5;3188290
M1;2010-01-07;;01;4C9HX*;4C9HXC/1;20100107;0;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;635;120;99852;366;VF34C9HXC5;3188292
M1;2010-01-13;;01;4C9HX*;4C9HXC/1;20100113;0;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;165;120;122802;124;VF34C9HXC5;3188293
M1;2010-01-29;;01;4C9HX*;4C9HXC/1;20100129;0;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;980;120;132813;393;VF34C9HXC5;3188294
M1;2010-01-29;;01;4C9HX*;4C9HXC/1;20100129;6;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;749;120;147888;718;VF34C9HXC5;3188300
M1;2010-05-17;;01;F5D21;M61BZ1;20100517;Y;4;AF;;5;1631;2155;2155;4545;1820;1650;02;1991;103;4;true;false;Kia;CARENS Monikäyttöajoneuvo (AF) 4ov 1991cm3;1;6;CARENS;05;e4*01/116*0114*03;02;543;165;185532;018;KNEFG52428;3188355
M1;2010-06-08;;01;WK71;AB;20100608;6;2;AE;;4;1700;2055;;4580;1782;1384;01;1995;125;4;false;;BMW;320i Avoauto (AE) 2ov 1995cm3 A;2;6;320i;05;e1*01/116*0346*07;01;092;165;76569;013;WBAWK71040;3188503
