ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1G;2010-01-21;;01;W431;54654;20100121;9;;AF;;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;;;SORENTO;05;e9*98/14*0045*13;02;074;209;83165;695;KNEJC52457;12996
M1;2010-01-07;;01;ZNR20(R);ZNR11L-GRMEKW(1F);20100107;Y;;AF;;7;1455;2035;2035;4370;1770;1620;01;1790;95;4;;;Toyota;5D COROLLA VERSO MPV 1.8-ZNR11L-GRMEKW/275;;;COROLLA VERSO;05;e11*01/116*0222*05;01;734;184;154768;242;NMTER16R80;33079
M1;2010-01-29;;01;C;OY;20100129;Y;;AA;;5;1646;2130;2130;4800;1830;1480;01;3340;171;6;;;Hyundai;4D SONATA SEDAN 3.3 AUTOMATIC-E-41FP/273;;;SONATA;05;e11*01/116*0241*02;01;286;241;141863;457;KMHEU41FP7;35837
M1;2010-01-07;;01;ZNR20(R);ZNR11L-GRMEKW(1F);20100107;Y;;AF;;7;1455;2035;2035;4370;1770;1620;01;1790;95;4;;;Toyota;5D COROLLA VERSO MPV 1.8-ZNR11L-GRMEKW/275;;;COROLLA VERSO;05;e11*01/116*0222*05;01;276;184;76386;801;NMTER16R40;41626
M1;2010-01-20;;01;CSFA3;L;20100120;2;;AA;;5;1585;2040;2040;4850;1840;1500;01;2360;125;4;;;Chrysler;4D SEBRING SEDAN 2.4 AUTOMATIC-CSFA3/277;;;SEBRING;05;e11*01/116*0143*02;01;092;211;78929;014;1C3ACB6K87;47631
M1;2010-01-05;;05;A74V;5MT;20100105;0;;AC;;4;1445;1800;1800;4010;1810;1690;01;1580;78;4;;;Suzuki;3D GRAND VITARA STW 1.6-JTA74V-4X4/244;;;GRAND VITARA;05;e4*01/116*0091*06;01;418;205;103479;375;JSAJTA74V0;57884
M1;2010-03-25;;01;E;E01;20100325;1;;AF;;5;1490;1960;1960;4320;1780;1610;01;1990;104;4;;;Nissan;5D QASHQAI MPV 2.0-FBNJ10-4X4/263;;;QASHQAI;05;e11*01/116*0295*00;01;853;204;68728;209;SJNFBNJ10U;78786
M1;2010-02-22;;01;CSCAA;L;20100222;Y;;AA;;5;1635;2040;2040;4850;1840;1500;02;1960;103;4;true;;Chrysler;4D SEBRING SEDAN 2.0 CRD-CSCAA/277;;;SEBRING;05;e11*01/116*0143*02;02;740;170;150171;572;1C3ACC6A57;82514
M1;2010-01-25;;01;E;KY;20100125;6;;AA;;5;1666;2150;2150;4800;1830;1480;02;1990;103;4;true;;Hyundai;4D SONATA SEDAN 2.0D CRDI-E-41VP/273;;;SONATA;05;e11*01/116*0241*03;02;297;163;137588;702;KMHET41VP6;87945
M1;2010-06-01;;01;DTCAA;L;20100601;6;;AA;;5;1635;2040;2040;4850;1840;1500;02;1960;103;4;true;;Dodge;4D AVENGER SEDAN 2.0 CRD-DTCAA/277;;;AVENGER;05;e11*01/116*0143*02;02;244;170;131942;904;1B3ACC6A08;117037
M1;2010-01-12;;01;S211;522CB;20100112;8;;AA;;5;1565;2020;2020;4740;1810;1480;01;2650;138;6;;;Kia;4D MAGENTIS SALOON 2.7V6 AUTOMATIC-GE2243/272;;;MAGENTIS;05;e4*01/116*0100*00;01;091;220;70473;004;KNEGE22436;128960
M1;2010-01-22;;01;ZNR20(R);ZNR11L-GRMEKW(1F);20100122;Y;;AF;;7;1455;2035;2035;4370;1770;1620;01;1790;95;4;;;Toyota;5D COROLLA VERSO MPV 1.8-ZNR11L-GRMEKW/275;;;COROLLA VERSO;05;e11*01/116*0222*05;01;050;184;64305;274;NMTER16R00;129933
M1G;2010-02-05;;01;JCE8M;8H25;20100205;0;;AF;;5;2210;2750;2750;4750;1870;1740;02;2980;160;6;true;;Jeep;5D GRAND CHEROKEE 3.0 CRD AUTOMATIC-JCE8M-4X4/278;;;GRAND CHEROKEE;05;e4*01/116*0095*07;02;743;270;147763;603;1J8HCE8M28;137794
M1;2010-01-15;;01;S111;512BA;20100115;8;;AA;;5;1507;1980;1980;4740;1810;1480;01;1990;106;4;;;Kia;4D MAGENTIS SALOON 2.0 AUTOMATIC-GE2223/272;;;MAGENTIS;05;e4*01/116*0100*02;01;564;191;82534;904;KNEGE22236;152724
M1;2010-01-29;;01;CSDAE;L;20100129;0;;AA;;5;1595;2040;2040;4850;1840;1500;01;2730;137;6;;;Chrysler;4D SEBRING SEDAN 2.7 AUTOMATIC-CSDAE/277;;;SEBRING;05;e11*01/116*0143*03;01;853;236;144158;209;1C3ACF6R98;158233
M1G;2010-01-25;;01;W431;54654;20100125;5;5;AF;;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;false;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;1;5;SORENTO;05;e9*98/14*0045*13;02;177;209;148132;355;KNEJC52457;173058
M1G;2010-02-25;;01;JKWF3;81;20100225;3;;AF;;5;1600;2010;2010;4408;1785;1658;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4 CVT-JKWF3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;560;226;114289;163;1J8FFF8W78;181547
M1G;2010-02-03;;05;JCE8M;8H25;20100203;6;;AF;;5;2210;2750;2750;4750;1870;1740;02;2980;160;6;true;;Jeep;5D GRAND CHEROKEE 3.0 CRD AUTOMATIC-JCE8M-4X4/278;;;GRAND CHEROKEE;05;e4*01/116*0095*07;02;564;270;192129;904;1J8HCE8M08;187719
M1;2010-01-04;;01;ZNR20(R);ZNR11L-GRMEKW(1F);20100104;Y;;AF;;7;1455;2035;2035;4370;1770;1620;01;1790;95;4;;;Toyota;5D COROLLA VERSO MPV 1.8-ZNR11L-GRMEKW/275;;;COROLLA VERSO;05;e11*01/116*0222*05;01;257;184;94533;024;NMTER16R20;210210
M1G;2010-01-08;;01;JK1F3;81;20100108;0;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;765;206;169046;886;1J8FFN8W08;222107
M1G;2010-02-24;;01;W441;54654;20090529;8;5;AF;;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;false;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;;;BL;05;e9*98/14*0045*14;02;091;209;103986;007;KNEJC52457;244921
M1;2010-05-25;;01;F5P31;M54DZ1;20100525;2;;AF;;5;1102;1510;1510;3830;1670;1490;01;1590;78;4;;;Hyundai;5D GETZ MPV 1.6-B-51BP/246;;;GETZ;05;e4*01/116*0123*00;01;257;145;68401;028;MALBU51BP7;256957
M1G;2010-01-22;;01;W431;54654;20100122;9;4;AF;1;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;false;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;;;SORENTO;05;e9*98/14*0045*13;02;638;209;101458;064;KNEJC52457;279755
M1;2010-02-17;;01;DGJC9;86;20100217;6;;AC;;5;2015;2520;2520;4580;1860;1760;02;2770;130;4;true;;Dodge;5D NITRO STW 2.8 CRD AUTOMATIC-DGJC9-4X4/276;;;NITRO;05;e4*01/116*0122*01;02;049;250;170879;029;1D8GUE89X8;291558
M1G;2010-01-22;;01;JK1F3;81;20100122;5;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;260;206;56785;598;1J8FFN8W88;302045
M1G;2010-01-19;;01;JK1F3;81;20100119;2;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;543;206;121252;018;1J8FFN8W48;308607
M1G;2010-01-22;;01;W431;54654;20090617;0;5;AF;;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;false;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;;;SORENTO;05;e9*98/14*0045*14;02;240;209;115678;941;KNEJC52457;343519
M1;2010-03-12;;01;AFBNVX01;NFM5FM52R02615;20100312;8;5;AF;;5;1320;1760;1760;4210;1680;1610;02;1420;59;3;true;false;Skoda;ROOMSTER Monikäyttöajoneuvo (AF) 5ov 1420cm3;1;5;ROOMSTER;05;e11*01/116*0291*10;02;434;135;132259;077;TMBMF65J87;352585
M1;2010-10-25;;01;F7P11;A41AZ1;20100125;8;4;AF;;7;2046;2785;2785;4810;1990;1820;01;2650;139;6;false;false;Kia;5D CARNIVAL MPV 2.7V6 AUTOMATIC-MB7523/289;;;CARNIVAL;05;e4*01/116*0112*00;01;284;260;136096;315;KNEMB75237;368384
M1G;2010-01-04;;01;JK1F3;72;20100104;2;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;398;206;155984;156;1J8FFN8W87;398244
M1;2010-01-25;;01;CSFA3;L;20100125;2;;AA;;5;1585;2040;2040;4850;1840;1500;01;2360;125;4;;;Chrysler;4D SEBRING SEDAN 2.4 AUTOMATIC-CSFA3/277;;;SEBRING;05;e11*01/116*0143*01;01;245;211;85448;042;1C3ACB6K37;405604
M1;2010-01-05;;01;B;NX;20100105;Y;4;AA;;5;1546;2030;2030;4800;1830;1480;01;2350;118;4;false;false;Hyundai;4D SONATA SEDAN 2.4 AUTOMATIC-E-41CP/273;;;SONATA;05;e11*01/116*0241*04;01;927;205;169965;034;KMHEU41CP8;409452
M1G;2010-06-18;;01;JCE8M;8H25;20100618;6;;AF;;5;2210;2750;2750;4750;1870;1740;02;2980;160;6;true;;Jeep;5D GRAND CHEROKEE 3.0 CRD AUTOMATIC-JCE8M-4X4/278;;;GRAND CHEROKEE;05;e4*01/116*0095*07;02;694;270;128893;111;1J8HCE8M78;414234
M1;2010-04-09;;01;DTCAA;L;20100409;6;;AA;;5;1635;2040;2040;4850;1840;1500;02;1960;103;4;true;;Dodge;4D AVENGER SEDAN 2.0 CRD-DTCAA/277;;;AVENGER;05;e11*01/116*0143*02;02;398;170;274844;159;1B3ACC6A98;430881
M1;2010-06-08;;05;;;19940000;0;4;;1;5;1740;2185;2185;4990;1900;;01;4560;224;;false;false;Cadillac;4D SEVILLE SEDAN SLS-KY5-Y/285;;;;05;;01;297;335;238118;707;1G6KS52Y7R;442281
M1;2010-03-15;;01;CSDAE;L;20100315;6;;AA;;5;1595;2040;2040;4850;1840;1500;01;2730;137;6;;;Chrysler;4D SEBRING SEDAN 2.7 AUTOMATIC-CSDAE/277;;;SEBRING;05;e11*01/116*0143*03;01;499;236;118754;658;1C3ACF6R38;449769
M1;2010-04-27;;01;DTNAB;L;20100427;6;;AA;;5;1555;2040;2040;4850;1840;1500;01;1990;115;4;;;Dodge;4D AVENGER SEDAN 2.0-DTNAB/277;;;AVENGER;05;e11*01/116*0143*02;01;167;185;182141;802;1B3ACN6B58;466222
M1;2010-03-31;;04;;;20100331;2;4;AF;;9;2280;3000;3000;4960;2050;2250;02;2190;74;4;true;false;Fiat;4D DUCATO 30 COMBI 100 2.2JTD-250AAMRA06/300;;;DUCATO;05;;02;853;193;219250;205;ZFA2500000;485411
M1;2010-01-15;;01;F5G14B;M51AZ1;20100115;9;;AF;;5;1623;2140;2140;4350;1840;1700;01;1970;104;4;;;Kia;5D SPORTAGE SUV 2.0-JE5525-4X4/263;;;SPORTAGE;05;e4*01/116*0120*01;01;593;194;61228;761;U6YJE55257;488381
M1;2010-04-13;;01;NA51;32;20051011;Y;4;AA;;5;1575;2060;2060;4840;1850;1470;01;2490;141;6;false;false;BMW;4D 525I SEDAN AUTOMATIC-NA51/289;2;;525i;05;e1*01/116*0230*04;01;753;239;45399;011;WBANA51090;517396
M1;2010-01-28;;01;NU31;AB;20100128;8;;AA;;5;1600;2085;2085;4840;1850;1470;01;2490;140;6;;;BMW;4D 523I SEDAN AUTOMATIC-NU31/289;;;523i;05;e1*01/116*0230*11;01;091;178;51878;002;WBANU31050;535708
M1G;2010-01-22;;01;JK1F3;81;20100122;1;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;444;206;87696;038;1J8FFN8WX8;548639
M1;2010-06-17;;01;B5P41;M52CZ1;20100617;6;;AF;;5;1268;1720;1720;4250;1780;1480;01;1590;89;4;;;Hyundai;5D I 30 MPV 1.6-D-51DP/265;;;i 30;05;e11*01/116*0313*03;01;092;152;92039;016;KMHDC51DP8;549630
M1G;2010-01-29;;01;JK1F3;81;20100129;2;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;167;206;54782;812;1J8FFN8W28;551243
M1;2010-03-26;;01;AXBWAX11;QMAM62Q0190GG;20090831;2;;AF;;5;1646;2191;2191;4490;1780;1620;01;1980;147;4;true;;Seat;5D ALTEA 4 FREETRACK 2.0TFSI-5P-4X4/258;;;ALTEA 4 FREETRACK;05;e9*01/116*0050*18;01;005;223;109753;628;VSSZZZ5PZ8;554339
M1;2010-06-17;;01;CSDAE;L;20100617;6;;AA;;5;1595;2040;2040;4850;1840;1500;01;2730;137;6;;;Chrysler;4D SEBRING SEDAN 2.7 AUTOMATIC-CSDAE/277;;;SEBRING;05;e11*01/116*0143*03;01;418;236;166566;375;1C3ACF6R98;584114
M1G;2010-02-03;;01;C5D54;A51AZ1;20090508;Y;5;AC;;5;1928;2570;2570;4650;1890;1730;02;2180;114;4;true;false;Hyundai;5D SANTA FE STW 2.2D AUTOMATIC-S-81WP-4X4/270;;;SANTA FE;05;e11*01/116*0270*01;02;543;212;148354;018;KMHSH81WP7;592136
M1G;2010-02-11;;01;JK1F3;81;20100211;3;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;142;206;137317;473;1J8FFN8W28;592203
M1;2010-03-23;;01;DGJC9;86;20100323;6;;AC;;5;2015;2520;2520;4580;1860;1760;02;2770;130;4;true;;Dodge;5D NITRO STW 2.8 CRD AUTOMATIC-DGJC9-4X4/276;;;NITRO;05;e4*01/116*0122*02;02;694;250;134861;111;1D8GUE89X8;610770
M1;2010-04-16;;01;B5P51;M53BZ1;20100416;Y;;AF;;5;1341;1770;1770;4240;1790;1480;01;1970;105;4;;;Kia;5D CEED MPV 2.0-FF2432/265;;;CEED;05;e4*01/116*0121*00;01;564;170;92216;905;U5YFF24327;643072
M1G;2010-01-15;;01;JK1F3;81;20100115;5;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;240;206;81691;947;1J8FFN8W88;650884
M1G;2010-02-03;;01;JKWF3;81;20100203;3;;AF;;5;1600;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4 CVT-JKWF3-4X4/264;;;PATRIOT;05;e11*01/116*0142*05;01;091;214;90910;007;1J8FFF8W38;706554
M1;2010-01-27;;01;A;A01;20100127;6;;AA;;5;1268;1715;1715;4480;1700;1540;01;1590;81;4;;;Nissan;4D TIIDA SEDAN 1.6-BCAC11/260;;;TIIDA;05;e11*01/116*0296*00;01;505;165;113033;045;3N1BCAC11U;718539
M1;2010-01-15;;01;S111;512BA;20100115;8;;AA;;5;1507;1980;1980;4740;1810;1480;01;1990;106;4;;;Kia;4D MAGENTIS SALOON 2.0 AUTOMATIC-GE2223/272;;;MAGENTIS;05;e4*01/116*0100*03;01;609;191;23458;281;KNEGE22237;746768
M1;2010-01-05;;01;K1;Z;20100105;2;;AD;;4;1428;1760;1760;4400;1760;1330;01;2650;121;6;;;Hyundai;COUPE 2.7 V6-H-61FP/253;;;COUPE;05;e11*98/14*0186*04;01;837;236;94406;337;KMHHN61FP7;753355
M1;2010-09-27;;01;F7D21;M61BZ1;20100125;6;5;AF;;7;1657;2255;2255;4550;1820;1650;02;1990;103;4;true;false;Kia;5D CARENS MPV 2.0CRD1-7-FG5242/270;;;CARENS;05;e4*01/116*0114*00;02;082;165;149961;138;KNEFG52427;767662
M1;2010-04-21;;01;DTNAB;L;20100421;6;;AA;;5;1555;2040;2040;4850;1840;1500;01;1990;115;4;;;Dodge;4D AVENGER SEDAN 2.0-DTNAB/277;;;AVENGER;05;e11*01/116*0143*02;01;895;185;27615;235;1B3ACN6B08;797683
M1;2010-06-09;;01;O720L1;N2AAA600;20100609;0;;AC;;6;2270;2895;2895;5160;1920;1660;02;2980;165;6;true;;Mercedes-Benz;5D R 320 CDI 4MATIC-251122-4X4/322;;;R 320 CDI 4MATIC;05;e1*01/116*0341*02;02;049;246;139461;022;WDC2511221;798694
M1;2010-01-29;;01;C;OY;20100129;Y;;AA;;5;1646;2130;2130;4800;1830;1480;01;3340;171;6;;;Hyundai;4D SONATA SEDAN 3.3 AUTOMATIC-E-41FP/273;;;SONATA;05;e11*01/116*0241*02;01;430;241;93596;322;KMHEU41FP7;830815
M1G;2010-01-13;;01;W431;54654;20100113;8;;AF;;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;;;SORENTO;05;e9*98/14*0045*14;02;285;209;65023;482;KNEJC52457;834432
M1G;2010-02-08;;01;JK1F3;81;20100208;2;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;430;206;130831;323;1J8FFN8WX8;850516
M1;2010-02-18;;01;NX51;AB;20100218;6;;AA;;5;1670;2155;2155;4840;1850;1470;02;2990;145;6;true;;BMW;4D 525D SEDAN AUTOMATIC-NX51/289;;;525d;05;e1*01/116*0230*11;02;165;172;190171;142;WBANX510X0;864201
M1G;2010-01-22;;01;JCE8M;8H25;20100122;5;;AF;;5;2210;2750;2750;4750;1870;1740;02;2980;160;6;true;;Jeep;5D GRAND CHEROKEE 3.0 CRD AUTOMATIC-JCE8M-4X4/278;;;GRAND CHEROKEE;05;e4*01/116*0095*07;02;317;270;200135;867;1J8HCE8M48;866477
M1G;2010-01-25;;01;JKWF3;81;20100125;3;;AF;;5;1600;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4 CVT-JKWF3-4X4/264;;;PATRIOT;05;e11*01/116*0142*05;01;049;214;109701;026;1J8FFF8W58;871619
M1;2010-01-14;;01;ADE157(H);ADE157L-DHFNXW(1A);20100114;Y;;AB;;5;1510;1920;1920;4220;1760;1510;02;2230;130;4;true;;Toyota;4D AURIS HATCHBACK 2.2 D-4D-ADE157L-DHFNXW/260;;;AURIS;05;e11*01/116*0305*00;02;244;164;156350;904;SB1KB56E30;876306
M1G;2010-01-28;;01;JCE8M;8H25;20100128;8;;AF;;5;2210;2750;2750;4750;1870;1740;02;2980;160;6;true;;Jeep;5D GRAND CHEROKEE 3.0 CRD AUTOMATIC-JCE8M-4X4/278;;;GRAND CHEROKEE;05;e4*01/116*0095*07;02;851;270;119409;955;1J8HCE8M98;900482
M1;2010-12-16;;01;VV4HN*;VV4HNH/2;20080926;6;4;AF;;7;1825;2410;2410;4650;1810;1670;02;2170;115;4;true;false;Citroen;5D C-CROSSER MPV 2.2HDI-VV4HNH/2-4X4/267;;;C-CROSSER;05;e2*01/116*0358*00;02;061;194;244902;311;VF7VV4HNH8;910307
M1G;2010-02-22;;01;JK1F3;81;20100222;5;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;444;206;92088;092;1J8FFN8W68;912958
M1;2010-01-29;;01;DTDAE;L;20100129;6;;AA;;5;1595;2040;2040;4850;1840;1500;01;2730;137;6;;;Dodge;4D AVENGER SEDAN 2.7 AUTOMATIC-DTDAE/277;;;AVENGER;05;e11*01/116*0143*03;01;543;236;48235;019;1B3ACF6R18;923856
M1;2010-01-04;;01;4C5FW*;4C5FWC;20100104;6;;AB;;5;1362;1815;1815;4280;1830;1430;01;1590;88;4;;;Peugeot;4D 308 HATCHBACK 1.6I-4C5FWC/273;;;308;05;e2*01/116*0362*00;01;609;159;66495;285;VF34C5FWC5;934489
M1G;2010-09-02;;01;KDJ120(K);KDJ120L-GKAEYW(BD);20060802;0;5;;1;5;2035;2850;2850;4720;1880;1910;02;2980;122;4;true;false;Toyota;5D LAND CRUISER STW 3.0D4D AUT-5-KDJ120L-GKAEYW-4X4/279;2;;LAND CRUISER;10;e6*01/116*0089*03;02;305;243;197432;936;JTEBZ29J50;938432
M1G;2010-01-07;;01;JKWF3;81;20100107;6;;AF;;5;1600;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4 CVT-JKWF3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;091;214;74580;007;1J8FFF8W18;955156
M1G;2010-02-16;;01;W431;54654;20090617;5;4;AF;1;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;false;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;1;5;SORENTO;05;e9*98/14*0045*14;02;276;209;221432;811;KNEJC52457;966449
M1;2010-05-12;;01;ZNR20(R);ZNR11L-GRMEKW(1F);20100512;Y;;AF;;7;1455;2035;2035;4370;1770;1620;01;1790;95;4;;;Toyota;5D COROLLA VERSO MPV 1.8-ZNR11L-GRMEKW/275;;;COROLLA VERSO;05;e11*01/116*0222*05;01;301;184;117488;613;NMTER16R00;975873
M1;2010-01-04;;01;AXC1B;06;20100104;1;2;AB;;4;1055;1495;1495;3810;1700;1530;01;1360;70;4;false;false;Lancia;2D YPSILON HATCHBACK 95 1.4-843AXC1B06/239;;;YPSILON;05;e3*01/116*0149*05;01;049;155;87865;026;ZLA8430000;976105
M1;2010-01-21;;01;C;OY;20100121;Y;;AA;;5;1646;2130;2130;4800;1830;1480;01;3340;171;6;;;Hyundai;4D SONATA SEDAN 3.3 AUTOMATIC-E-41FP/273;;;SONATA;05;e11*01/116*0241*02;01;049;241;52697;022;KMHEU41FP7;986527
M1;2010-08-23;;01;;;20000518;8;2;AE;4;2;1320;1535;1535;4150;1840;;01;1990;218.9;4;true;false;Honda;2D S2000 CONVERTIBLE-AP11/241;1;5;;05;;01;564;235;50348;901;JHMAP1130Y;992049
M1;2010-01-25;;01;B;NX;20100125;Y;4;AA;;5;1546;2030;2030;4800;1830;1480;01;2350;118;4;false;false;Hyundai;4D SONATA SEDAN 2.4 AUTOMATIC-E-41CP/273;;;SONATA;05;e11*01/116*0241*04;01;858;205;140332;043;KMHEU41CP8;993699
M1;2010-01-28;;01;SEAVFX01;AGFA51V022NP0GE;20030306;5;5;AC;1;5;1571;2090;2090;4680;1750;;02;1890;96;4;true;false;Volkswagen;5D PASSAT VARIANT 1.9TDI AUTOMATIC-3BG/269;2;;5D PASSAT VARIANT 1.9TDI AUTOMATIC-3BG;05;e1*98/14*0157*09;02;091;194;251585;005;WVWZZZ3BZ3;1022238
M1;2010-01-25;;01;C;OY;20100125;Y;;AA;;5;1646;2130;2130;4800;1830;1480;01;3340;171;6;;;Hyundai;4D SONATA SEDAN 3.3 AUTOMATIC-E-41FP/273;;;SONATA;05;e11*01/116*0241*02;01;200;241;131937;;KMHEU41FP7;1029814
M1;2010-08-20;;01;BN51;31;20020607;Y;2;AD;;5;1540;1930;1930;4490;1820;;01;2970;170;6;false;false;BMW;330CI COUPE SMG-BN51/273;4;;330CI COUPE SMG-BN51/273;05;e1*98/14*0112*07;01;049;218;137198;027;WBABN51050;1029845
M1;2010-01-08;;01;B5P41;A41CZ1;20100108;6;;AF;;5;1289;1740;1740;4250;1780;1480;01;1590;89;4;;;Hyundai;5D I 30 MPV 1.6 AUTOMATIC-D-51DP/265;;;i 30;05;e11*01/116*0313*03;01;853;165;40704;202;KMHDC51DP8;1050398
M1;2010-01-08;;05;B5P41;A41CZ1;20100108;1;;AF;;5;1289;1740;1740;4250;1780;1480;01;1590;89;4;;;Hyundai;5D I 30 MPV 1.6 AUTOMATIC-D-51DP/265;;;i 30;05;e11*01/116*0313*03;01;858;165;127707;043;KMHDC51DP8;1053469
M1;2010-04-30;;01;AXC11;05;20100125;6;2;AB;1;4;1070;1510;1510;3810;1700;1530;01;1360;70;4;false;false;Lancia;2D YPSILON HATCHBACK 95 1.4 SELESPEED-843AXC1105/239;1;5;YPSILON;05;e3*01/116*0149*05;01;091;152;62048;007;ZLA8430000;1093840
M1G;2010-01-12;;01;JKWF3;81;20100112;5;;AF;;5;1600;2010;2010;4408;1785;1658;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4 CVT-JKWF3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;286;226;117918;457;1J8FFF8W28;1099904
M1;2010-03-26;;01;BBN8K;71;20100326;Y;;AB;;5;1475;1930;1930;4420;1800;1540;01;2350;125;4;;;Dodge;4D CALIBER HATCHBACK 2.4-BBN8K/264;;;CALIBER;05;e11*01/116*0142*02;01;905;190;111476;652;1B3HBN8K07;1112732
M1;2010-04-22;;01;Coupe;L;20040908;5;2;AD;;4;1875;2100;2100;4710;1875;1270;01;5935;336;12;false;false;ASTON MARTIN;2D DB9 COUPE 6.0-VH1/274;2;;DB9;05;e11*2001/116*0229*00;01;399;394;115518;664;SCFAD01A05;1132035
M1;2010-03-11;;01;AXF1B;05;20090529;8;4;AF;;5;1350;1785;1785;4340;1790;1500;01;1360;110;4;true;false;Fiat;5D BRAVO MULTIUSO 150 1.4TB-198AXF1B05/260;1;6;BRAVO;05;e3*01/116*0248*02;01;609;167;77006;286;ZFA1980000;1138495
M1;2010-01-15;;01;CSCAA;L;20100115;6;;AA;;5;1635;2040;2040;4850;1840;1500;02;1960;103;4;true;;Chrysler;4D SEBRING SEDAN 2.0 CRD-CSCAA/277;;;SEBRING;05;e11*01/116*0143*02;02;091;170;159571;009;1C3ACC6A67;1157192
M1;2010-10-18;;01;NY71;AB;20071115;0;4;AA;;5;1780;2265;2265;4840;1850;1480;02;2990;173;6;true;false;BMW;4D 530XD SEDAN AUTOMATIC-NY71-4X4/289;;;530xd;05;e1*01/116*0322*03;02;890;186;207307;999;WBANY71030;1174568
M1G;2010-01-20;;01;W431;54654;20100120;0;;AF;;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;;;SORENTO;05;e9*98/14*0045*13;02;106;209;57231;058;KNEJC52457;1186581
M1G;2010-02-19;;01;JK1F3;81;20100219;6;;AF;;5;1565;2010;2010;4410;1790;1660;01;2350;125;4;;;Jeep;5D PATRIOT MPV 2.4-JK1F3-4X4/264;;;PATRIOT;05;e11*01/116*0142*04;01;710;206;107615;104;1J8FFN8W38;1189476
