ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-05-01 17:19:04,2017-05-01 17:28:18,1,2.38,1,N,141,74,2,9.5,1,0.5,0,0,0.3,11.3
1,2017-05-01 00:05:06,2017-05-01 00:09:32,1,1.20,1,N,68,100,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-05-01 02:22:12,2017-05-01 02:46:45,1,18.40,2,N,132,4,1,52,0,0.5,10.55,0,0.3,63.35
2,2017-05-01 06:15:22,2017-05-01 06:20:47,1,1.65,1,N,68,170,2,7,0,0.5,0,0,0.3,7.8
1,2017-05-01 07:12:58,2017-05-01 07:22:26,1,1.70,1,N,239,163,1,8.5,0,0.5,2,0,0.3,11.3
1,2017-05-01 07:50:30,2017-05-01 08:28:18,1,12.30,1,N,132,129,1,37.5,0,0.5,7.65,0,0.3,45.95
1,2017-05-01 08:24:48,2017-05-01 08:30:26,1,.70,1,N,246,68,1,5.5,0,0.5,1,0,0.3,7.3
2,2017-05-01 08:57:51,2017-05-01 09:10:53,1,1.03,1,N,229,161,1,9,0,0.5,1.96,0,0.3,11.76
1,2017-05-01 09:33:27,2017-05-01 09:44:52,1,2.20,1,N,262,233,2,10,0,0.5,0,0,0.3,10.8
1,2017-05-01 10:12:48,2017-05-01 10:28:17,1,10.20,4,N,132,265,1,35.5,0,0.5,7.25,0,0.3,43.55
1,2017-05-01 10:54:58,2017-05-01 10:58:03,2,.20,1,N,163,161,1,4,0,0.5,0.95,0,0.3,5.75
2,2017-05-01 11:36:57,2017-05-01 11:53:53,6,2.79,1,N,262,142,2,13.5,0,0.5,0,0,0.3,14.3
2,2017-05-01 12:16:43,2017-05-01 12:35:46,2,1.89,1,N,113,186,1,12.5,0,0.5,3.99,0,0.3,17.29
1,2017-05-01 12:56:58,2017-05-01 13:05:17,1,1.40,1,N,142,239,1,8,0,0.5,1.75,0,0.3,10.55
2,2017-05-01 17:58:32,2017-05-01 18:04:08,5,1.05,1,N,79,232,2,6,1,0.5,0,0,0.3,7.8
1,2017-05-01 13:41:09,2017-05-01 13:44:13,1,.50,1,N,239,238,1,4.5,0,0.5,1.06,0,0.3,6.36
2,2017-05-01 14:17:13,2017-05-01 14:32:39,1,2.00,1,N,170,237,1,11.5,0,0.5,3.69,0,0.3,15.99
1,2017-05-01 14:53:33,2017-05-01 15:44:50,2,17.60,2,N,132,107,2,52,0,0.5,0,5.76,0.3,58.56
1,2017-05-01 15:28:18,2017-05-01 15:40:26,1,2.30,1,N,231,234,1,10.5,0,0.5,1,0,0.3,12.3
2,2017-05-01 16:05:33,2017-05-01 16:13:46,1,1.08,1,N,170,186,1,7,1,0.5,2.2,0,0.3,11
1,2017-05-21 04:16:02,2017-05-21 04:50:16,1,15.60,1,N,161,208,4,46,0.5,0.5,0,0,0.3,47.3
1,2017-05-21 04:44:23,2017-05-21 04:47:09,1,.70,1,N,234,186,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2017-05-21 07:26:07,2017-05-21 07:27:42,2,.56,1,N,107,170,1,3.5,0,0.5,1,0,0.3,5.3
2,2017-05-21 07:38:06,2017-05-21 07:46:01,1,1.69,1,N,79,232,1,8,0,0.5,1.76,0,0.3,10.56
1,2017-05-21 08:57:56,2017-05-21 09:29:20,2,11.60,1,N,237,138,2,35.5,0,0.5,0,5.76,0.3,42.06
1,2017-05-21 09:51:43,2017-05-21 09:57:56,1,1.80,1,N,233,141,1,7.5,0,0.5,1.5,0,0.3,9.8
2,2017-05-01 19:07:18,2017-05-01 19:18:04,1,1.39,1,N,234,161,1,8.5,1,0.5,1.54,0,0.3,11.84
1,2017-05-01 19:38:50,2017-05-01 19:42:13,1,.90,1,N,162,141,2,5,1,0.5,0,0,0.3,6.8
1,2017-05-01 20:11:34,2017-05-01 20:22:27,1,1.60,1,N,142,162,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2017-05-01 20:44:39,2017-05-01 20:59:14,1,2.66,1,N,239,162,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2017-05-01 21:17:58,2017-05-01 21:28:19,1,2.41,1,N,162,79,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2017-05-01 21:52:49,2017-05-01 22:00:16,1,1.75,1,N,114,68,1,8,0.5,0.5,1,0,0.3,10.3
2,2017-05-01 22:30:35,2017-05-01 22:44:33,1,4.18,1,N,162,226,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2017-05-01 23:16:35,2017-05-01 23:24:19,2,2.02,1,N,68,48,2,8,0.5,0.5,0,0,0.3,9.3
2,2017-05-02 00:18:26,2017-05-02 00:22:42,1,.80,1,N,148,4,1,5,0.5,0.5,0,0,0.3,6.3
2,2017-05-02 02:06:09,2017-05-02 02:06:31,1,.01,2,N,236,236,1,52,0,0.5,10.56,0,0.3,63.36
2,2017-05-02 02:23:27,2017-05-02 02:40:19,1,6.47,1,N,148,226,2,21,0.5,0.5,0,0,0.3,22.3
1,2017-05-03 22:51:04,2017-05-03 23:11:08,1,3.80,1,N,107,236,1,16,0.5,0.5,3.45,0,0.3,20.75
1,2017-05-02 06:25:03,2017-05-02 06:28:22,1,.70,1,N,140,262,1,5,0,0.5,1,0,0.3,6.8
1,2017-05-03 23:07:43,2017-05-03 23:18:26,1,1.40,1,N,234,224,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2017-05-02 07:18:38,2017-05-02 07:33:45,1,6.68,1,N,132,216,2,20.5,0,0.5,0,0,0.3,21.3
2,2017-05-02 07:49:56,2017-05-02 07:59:12,1,1.22,1,N,162,236,1,7.5,0,0.5,1.66,0,0.3,9.96
1,2017-05-02 08:20:27,2017-05-02 08:32:15,1,1.40,1,N,237,143,1,9,0,0.5,1.95,0,0.3,11.75
2,2017-05-02 08:52:09,2017-05-02 08:54:30,1,.46,1,N,137,170,1,4,0,0.5,1.2,0,0.3,6
1,2017-05-02 09:26:42,2017-05-02 09:50:54,1,6.20,1,N,140,256,2,24,0,0.5,0,0,0.3,24.8
2,2017-05-02 10:02:35,2017-05-02 10:25:50,1,4.56,1,N,88,107,1,18,0,0.5,3.76,0,0.3,22.56
2,2017-05-02 10:41:12,2017-05-02 10:51:29,1,1.47,1,N,68,142,1,8.5,0,0.5,2.32,0,0.3,11.62
1,2017-05-02 11:20:09,2017-05-02 11:36:31,1,1.50,1,N,163,236,1,11.5,0,0.5,2.45,0,0.3,14.75
2,2017-05-02 11:57:19,2017-05-02 11:58:18,1,.18,1,N,234,234,2,3,0,0.5,0,0,0.3,3.8
2,2017-05-02 12:34:15,2017-05-02 12:55:14,1,7.12,1,N,138,42,2,23,0,0.5,0,5.76,0.3,29.56
2,2017-05-02 13:11:59,2017-05-02 13:22:28,1,.55,1,N,162,161,1,7.5,0,0.5,1.66,0,0.3,9.96
1,2017-05-02 13:48:44,2017-05-02 14:07:30,1,3.00,1,N,107,237,2,14,0,0.5,0,0,0.3,14.8
1,2017-05-02 14:23:31,2017-05-02 14:32:14,2,1.20,1,N,142,230,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-05-02 14:57:35,2017-05-02 15:01:13,1,.64,1,N,170,161,1,4.5,0,0.5,1.06,0,0.3,6.36
2,2017-05-02 15:31:12,2017-05-02 15:45:50,1,4.42,1,N,263,4,1,16,0,0.5,3.36,0,0.3,20.16
2,2017-05-02 16:07:19,2017-05-02 16:40:55,6,12.77,2,N,10,170,2,52,4.5,0.5,0,5.76,0.3,63.06
2,2017-05-02 16:46:45,2017-05-02 17:04:00,1,2.21,1,N,263,143,2,12.5,1,0.5,0,0,0.3,14.3
1,2017-05-02 17:22:51,2017-05-02 17:35:51,1,.80,1,N,264,264,1,9,1,0.5,2.15,0,0.3,12.95
2,2017-05-02 17:55:01,2017-05-02 18:11:01,1,1.69,1,N,142,237,2,11.5,1,0.5,0,0,0.3,13.3
1,2017-05-02 18:23:58,2017-05-02 18:29:23,1,.80,1,N,106,25,1,6,1,0.5,2.3,0,0.3,10.1
1,2017-05-02 18:52:04,2017-05-02 18:57:00,1,1.00,1,N,170,137,1,5.5,1,0.5,1.8,0,0.3,9.1
1,2017-05-02 19:20:00,2017-05-02 19:39:58,2,2.20,1,N,239,50,1,14,1,0.5,1,0,0.3,16.8
2,2017-05-02 19:49:36,2017-05-02 19:57:38,1,1.09,1,N,229,164,1,7,1,0.5,1.76,0,0.3,10.56
2,2017-05-02 20:19:29,2017-05-02 20:33:12,2,2.60,1,N,161,68,1,11.5,0.5,0.5,2.56,0,0.3,15.36
1,2017-05-02 20:48:40,2017-05-02 20:58:50,1,1.50,1,N,125,113,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2017-05-02 21:17:50,2017-05-02 21:35:36,1,4.30,1,N,249,239,1,17,0.5,0.5,3.65,0,0.3,21.95
1,2017-05-02 21:45:58,2017-05-02 21:54:24,1,2.30,1,N,137,140,1,9,0.5,0.5,2.55,0,0.3,12.85
1,2017-05-02 22:15:25,2017-05-02 22:22:06,1,.90,1,N,107,233,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2017-05-02 22:47:48,2017-05-02 22:56:30,2,2.10,1,N,230,249,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2017-05-02 23:23:55,2017-05-02 23:33:55,1,1.80,1,N,186,137,1,9,0.5,0.5,0,0,0.3,10.3
2,2017-05-03 00:15:44,2017-05-03 00:20:47,5,1.22,1,N,225,37,1,6,0.5,0.5,2.19,0,0.3,9.49
2,2017-05-04 05:20:33,2017-05-04 05:23:15,6,.98,1,N,137,229,2,4.5,0,0.5,0,0,0.3,5.3
1,2017-05-03 23:29:53,2017-05-03 23:40:10,1,2.00,1,N,211,13,1,9,0.5,0.5,1.5,0,0.3,11.8
1,2017-05-03 02:25:36,2017-05-03 03:03:06,1,10.30,1,N,68,223,1,34.5,0.5,0.5,0,0,0.3,35.8
1,2017-05-03 06:11:03,2017-05-03 06:35:29,1,16.50,3,N,230,1,1,62,0,0,10,16.5,0.3,88.8
2,2017-05-03 07:08:31,2017-05-03 07:13:08,1,1.13,1,N,100,142,1,5.5,0,0.5,1.58,0,0.3,7.88
2,2017-05-03 07:45:21,2017-05-03 07:49:08,5,.50,1,N,237,236,1,4.5,0,0.5,1.06,0,0.3,6.36
1,2017-05-03 08:17:04,2017-05-03 08:30:57,1,1.70,1,N,116,159,1,10.5,0,0.5,2.25,0,0.3,13.55
2,2017-05-03 08:49:07,2017-05-03 09:02:55,1,2.54,1,N,238,237,2,11,0,0.5,0,0,0.3,11.8
1,2017-05-03 09:21:27,2017-05-03 09:51:30,1,6.70,1,N,162,13,1,25,0,0.5,2.58,0,0.3,28.38
2,2017-05-03 09:55:39,2017-05-03 10:00:03,1,.68,1,N,170,161,1,5,0,0.5,1.45,0,0.3,7.25
1,2017-05-03 10:33:25,2017-05-03 10:42:01,1,1.20,1,N,50,230,1,7.5,0,0.5,1.65,0,0.3,9.95
1,2017-05-03 11:10:06,2017-05-03 11:25:14,1,1.30,1,N,234,230,1,10,0,0.5,2.7,0,0.3,13.5
1,2017-05-03 11:46:26,2017-05-03 12:01:38,1,2.40,1,N,170,262,2,11.5,0,0.5,0,0,0.3,12.3
2,2017-05-03 12:20:32,2017-05-03 12:35:38,2,1.53,1,N,211,234,2,10.5,0,0.5,0,0,0.3,11.3
1,2017-05-03 12:55:45,2017-05-03 13:03:47,1,1.80,1,N,246,142,1,8,0,0.5,1.75,0,0.3,10.55
2,2017-05-03 13:32:22,2017-05-03 13:43:46,1,.75,1,N,161,237,2,8,0,0.5,0,0,0.3,8.8
2,2017-05-04 00:30:45,2017-05-04 00:44:05,1,2.35,1,N,144,164,2,11,0.5,0.5,0,0,0.3,12.3
2,2017-05-03 14:08:48,2017-05-03 14:56:37,2,10.71,1,N,138,162,2,37,0,0.5,0,5.76,0.3,43.56
1,2017-05-03 14:42:29,2017-05-03 15:16:05,1,11.20,1,N,132,129,1,34.5,0,0.5,3,0,0.3,38.3
1,2017-05-03 15:14:52,2017-05-03 15:19:32,1,.40,1,N,114,211,1,5,0,0.5,1.15,0,0.3,6.95
2,2017-05-03 15:49:26,2017-05-03 15:56:49,4,.82,1,N,68,186,2,6.5,0,0.5,0,0,0.3,7.3
2,2017-05-03 16:26:54,2017-05-03 17:21:55,5,9.85,1,N,138,238,1,38.5,1,0.5,11.52,5.76,0.3,57.58
2,2017-05-03 17:06:26,2017-05-03 18:12:22,1,20.27,1,N,132,67,1,60,1,0.5,12.36,0,0.3,74.16
1,2017-05-04 04:27:05,2017-05-04 04:30:08,1,.80,1,N,234,107,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,2017-05-03 17:40:58,2017-05-03 17:46:52,2,1.17,1,N,186,68,1,6.5,1,0.5,2.08,0,0.3,10.38
1,2017-05-03 18:10:27,2017-05-03 18:42:34,1,7.90,1,N,264,264,1,26,1,0.5,5,0,0.3,32.8
