ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-06-09 19:00:26,2017-06-09 19:12:39,1,1.10,1,N,148,79,2,9,1,0.5,0,0,0.3,10.8
1,2017-06-09 19:59:07,2017-06-09 20:19:08,2,2.70,1,N,113,48,4,14,0.5,0.5,0,0,0.3,15.3
1,2017-06-09 21:01:33,2017-06-09 21:11:04,1,1.40,1,N,48,137,1,8,0.5,0.5,2.3,0,0.3,11.6
1,2017-06-09 22:08:35,2017-06-09 22:21:29,1,2.50,1,N,238,140,1,11.5,0.5,0.5,3.2,0,0.3,16
1,2017-06-09 23:10:36,2017-06-09 23:22:34,1,3.20,1,N,170,263,1,12,0.5,0.5,2.65,0,0.3,15.95
1,2017-06-10 00:19:19,2017-06-10 00:30:23,1,1.80,1,N,107,186,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2017-06-10 01:31:05,2017-06-10 01:43:10,1,1.20,1,N,249,79,1,9,0.5,0.5,0,0,0.3,10.3
1,2017-06-10 03:12:12,2017-06-10 03:29:38,1,4.20,1,N,79,225,1,16,0.5,0.5,5.15,0,0.3,22.45
1,2017-06-10 06:53:17,2017-06-10 06:57:00,1,.80,1,N,230,186,2,5,0,0.5,0,0,0.3,5.8
1,2017-06-10 09:32:05,2017-06-10 09:37:36,1,1.10,1,N,249,234,1,6,0,0.5,1,0,0.3,7.8
1,2017-06-10 11:04:40,2017-06-10 11:12:50,1,1.40,1,N,107,161,2,7.5,0,0.5,0,0,0.3,8.3
1,2017-06-10 12:25:34,2017-06-10 12:32:30,1,.70,1,N,100,246,1,6.5,0,0.5,1.45,0,0.3,8.75
1,2017-06-10 13:37:25,2017-06-10 13:50:54,1,2.20,1,N,158,230,2,11,0,0.5,0,0,0.3,11.8
1,2017-06-10 14:51:29,2017-06-10 15:12:57,1,3.80,1,N,237,249,1,16.5,0,0.5,3.45,0,0.3,20.75
1,2017-06-10 16:01:15,2017-06-10 16:14:33,1,2.40,1,N,161,238,2,11,0,0.5,0,0,0.3,11.8
1,2017-06-10 16:55:38,2017-06-10 17:09:58,1,1.80,1,N,158,48,1,11,0,0.5,2.35,0,0.3,14.15
1,2017-06-10 17:43:27,2017-06-10 17:50:07,4,.70,1,N,48,50,1,6,0,0.5,1,0,0.3,7.8
1,2017-06-29 17:47:56,2017-06-29 18:07:16,1,1.40,1,N,234,161,1,12.5,1,0.5,4.25,0,0.3,18.55
1,2017-06-10 19:27:41,2017-06-10 19:34:59,1,1.40,1,N,164,237,2,7,1,0.5,0,0,0.3,8.8
1,2017-06-10 20:40:05,2017-06-10 20:41:53,1,.60,1,N,238,236,1,4,0.5,0.5,1,0,0.3,6.3
1,2017-06-10 21:20:19,2017-06-10 21:50:53,2,9.90,1,N,142,127,1,33,0.5,0.5,6.85,0,0.3,41.15
1,2017-06-10 22:28:27,2017-06-10 22:33:16,1,.90,1,N,234,170,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2017-06-29 18:35:03,2017-06-29 19:40:27,2,8.12,5,N,230,265,1,95,0,0,21.56,12.5,0.3,129.36
1,2017-06-10 23:47:00,2017-06-10 23:56:24,1,2.20,1,N,151,142,1,9.5,0.5,0.5,2.15,0,0.3,12.95
1,2017-06-01 00:31:34,2017-06-01 00:33:29,1,.40,1,N,230,186,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2017-06-01 02:19:21,2017-06-01 02:29:41,1,2.10,1,N,141,137,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2017-06-01 06:01:21,2017-06-01 06:02:55,1,.60,1,N,162,170,1,4,0.5,0.5,1.3,0,0.3,6.6
1,2017-06-01 07:06:00,2017-06-01 07:39:45,3,16.70,2,N,68,132,2,52,0,0.5,0,5.76,0.3,58.56
2,2017-06-01 07:43:35,2017-06-01 07:50:06,5,1.45,1,N,43,239,1,7,0,0.5,1.56,0,0.3,9.36
1,2017-06-01 08:16:05,2017-06-01 08:22:35,1,.90,1,N,261,87,1,6,0,0.5,2,0,0.3,8.8
1,2017-06-01 08:47:07,2017-06-01 08:57:50,1,1.30,1,N,75,141,1,8.5,0,0.5,1.85,0,0.3,11.15
1,2017-06-01 09:18:39,2017-06-01 09:33:21,1,2.60,1,N,66,211,1,12,0,0.5,2.55,0,0.3,15.35
1,2017-06-01 09:52:55,2017-06-01 10:09:46,1,2.20,1,N,43,163,1,12.5,0,0.5,3.3,0,0.3,16.6
