ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-03-01 10:16:49,2017-03-01 10:26:40,1,1.60,1,N,236,238,2,8.5,0,0.5,0,0,0.3,9.3
2,2017-03-01 10:51:12,2017-03-01 11:40:35,1,13.13,1,N,138,261,1,42,0,0.5,5,0,0.3,47.8
1,2017-03-01 11:23:41,2017-03-01 11:29:09,1,.80,1,N,236,236,1,5.5,0,0.5,1.25,0,0.3,7.55
1,2017-03-01 11:55:28,2017-03-01 12:12:07,1,1.30,1,N,162,246,1,11.5,0,0.5,2.46,0,0.3,14.76
1,2017-03-01 12:32:40,2017-03-01 12:49:03,1,1.20,1,N,140,161,1,11,0,0.5,2.35,0,0.3,14.15
2,2017-03-01 13:12:20,2017-03-01 13:25:02,1,1.98,1,N,50,237,1,10,0,0.5,2.16,0,0.3,12.96
2,2017-03-01 13:50:12,2017-03-01 14:42:51,1,17.68,2,N,68,132,1,52,0,0.5,12,5.54,0.3,70.34
2,2017-03-01 14:25:58,2017-03-01 15:05:58,1,10.56,1,N,138,161,2,36,0,0.5,0,5.54,0.3,42.34
2,2017-03-11 12:03:35,2017-03-11 12:10:58,5,1.40,1,N,239,143,1,7,0,0.5,1.2,0,0.3,9
2,2017-03-01 15:01:49,2017-03-01 15:05:06,1,.53,1,N,143,239,2,4.5,0,0.5,0,0,0.3,5.3
2,2017-03-01 15:34:49,2017-03-01 15:50:12,1,1.79,1,N,234,162,1,11,0,0.5,2.36,0,0.3,14.16
1,2017-03-01 16:08:37,2017-03-01 16:22:38,2,1.80,1,N,237,143,2,11,1,0.5,0,0,0.3,12.8
2,2017-03-01 16:47:56,2017-03-01 16:57:39,1,1.62,1,N,45,249,2,8.5,1,0.5,0,0,0.3,10.3
1,2017-03-01 17:24:11,2017-03-01 17:50:00,1,3.80,1,N,50,211,1,18.5,1,0.5,4.05,0,0.3,24.35
1,2017-03-01 17:55:24,2017-03-01 18:13:09,1,2.60,1,N,234,231,2,13,1,0.5,0,0,0.3,14.8
1,2017-03-01 18:23:27,2017-03-01 18:23:27,1,.00,1,N,143,264,2,2.5,1,0.5,0,0,0.3,4.3
2,2017-03-01 18:50:20,2017-03-01 19:25:54,3,11.03,1,N,138,48,1,34.5,1,0.5,8.37,5.54,0.3,50.21
1,2017-03-01 19:16:52,2017-03-01 19:36:23,1,7.70,1,N,138,255,1,23.5,1,0.5,6.3,0,0.3,31.6
2,2017-03-01 19:45:22,2017-03-01 19:59:00,1,1.81,1,N,234,144,1,10.5,1,0.5,1,0,0.3,13.3
2,2017-03-01 20:13:27,2017-03-01 20:31:59,5,5.46,1,N,237,148,1,19,0.5,0.5,4.06,0,0.3,24.36
1,2017-03-01 20:43:01,2017-03-01 20:48:35,1,1.60,1,N,229,107,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-03-01 21:13:30,2017-03-01 21:19:25,1,1.30,1,N,170,113,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,2017-03-01 21:43:31,2017-03-01 21:49:11,1,.90,1,N,107,68,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2017-03-01 22:13:51,2017-03-01 22:27:24,1,2.40,1,N,236,233,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2017-03-01 22:45:46,2017-03-01 22:56:34,1,5.00,1,N,138,192,1,16,0.5,0.5,0,0,0.3,17.3
1,2017-03-01 23:21:18,2017-03-01 23:35:25,2,4.70,1,N,79,145,1,15.5,0.5,0.5,2.5,0,0.3,19.3
2,2017-03-02 00:09:28,2017-03-02 00:32:00,2,4.68,1,N,239,163,2,19,0.5,0.5,0,0,0.3,20.3
2,2017-03-02 01:29:46,2017-03-02 01:46:42,5,4.07,1,N,164,238,1,15.5,0.5,0.5,4.2,0,0.3,21
1,2017-03-02 05:02:02,2017-03-02 05:14:56,1,8.70,1,N,162,138,1,24.5,0.5,0.5,7.8,5.54,0.3,39.14
1,2017-03-02 06:46:26,2017-03-02 06:51:03,1,.50,1,N,229,161,1,5,0,0.5,1.15,0,0.3,6.95
1,2017-03-02 07:28:15,2017-03-02 07:32:00,1,.80,1,N,224,4,2,5,0,0.5,0,0,0.3,5.8
2,2017-03-02 07:57:41,2017-03-02 08:10:36,2,1.81,1,N,262,239,1,10,0,0.5,1,0,0.3,11.8
2,2017-03-02 08:26:47,2017-03-02 08:28:37,1,.34,1,N,161,237,1,3.5,0,0.5,1.29,0,0.3,5.59
1,2017-03-02 08:56:39,2017-03-02 08:58:40,1,.40,1,N,33,33,2,3.5,0,0.5,0,0,0.3,4.3
2,2017-03-02 09:27:52,2017-03-02 09:37:19,1,2.20,1,N,68,13,2,10,0,0.5,0,0,0.3,10.8
1,2017-03-02 10:01:32,2017-03-02 10:05:14,1,.40,1,N,141,237,1,4.5,0,0.5,0.75,0,0.3,6.05
1,2017-03-02 10:38:02,2017-03-02 10:40:00,1,.40,1,N,262,263,1,3.5,0,0.5,0.85,0,0.3,5.15
1,2017-03-02 11:15:29,2017-03-02 11:24:20,1,1.00,1,N,148,114,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-03-11 12:28:15,2017-03-11 12:43:43,1,2.63,1,N,114,162,1,12.5,0,0.5,3.32,0,0.3,16.62
2,2017-03-02 11:55:03,2017-03-02 12:04:35,2,.88,1,N,100,170,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-03-02 12:29:17,2017-03-02 12:37:31,2,1.35,1,N,107,148,1,7.5,0,0.5,2.49,0,0.3,10.79
2,2017-03-02 13:04:16,2017-03-02 13:36:09,1,4.86,1,N,141,42,1,22.5,0,0.5,4.66,0,0.3,27.96
2,2017-03-02 13:39:38,2017-03-02 13:46:07,1,.78,1,N,236,236,1,6,0,0.5,1.36,0,0.3,8.16
2,2017-03-02 14:12:12,2017-03-02 14:38:24,5,3.79,1,N,237,166,1,18.5,0,0.5,2.5,0,0.3,21.8
1,2017-03-02 14:44:16,2017-03-02 14:57:47,1,1.60,1,N,237,142,1,10,0,0.5,2.15,0,0.3,12.95
2,2017-03-02 15:14:15,2017-03-02 15:25:38,1,1.07,1,N,230,186,1,8.5,0,0.5,2.32,0,0.3,11.62
1,2017-03-02 15:45:21,2017-03-02 15:48:31,2,.60,1,N,239,239,2,4,0,0.5,0,0,0.3,4.8
1,2017-03-02 16:18:55,2017-03-02 16:28:38,1,1.30,1,N,48,170,2,7.5,1,0.5,0,0,0.3,9.3
1,2017-03-02 16:54:20,2017-03-02 17:01:47,1,.80,1,N,230,48,1,6,1,0.5,1.2,0,0.3,9
2,2017-03-02 17:26:34,2017-03-02 17:36:41,6,.91,1,N,230,161,1,7.5,1,0.5,0.93,0,0.3,10.23
2,2017-03-02 17:54:22,2017-03-02 19:01:47,1,8.53,1,N,163,235,2,41,1,0.5,0,0,0.3,42.8
2,2017-03-02 18:19:03,2017-03-02 18:39:48,3,3.59,1,N,230,209,1,16,1,0.5,3.56,0,0.3,21.36
1,2017-03-02 18:43:13,2017-03-02 18:55:37,1,1.50,1,N,234,144,2,9.5,1,0.5,0,0,0.3,11.3
2,2017-03-02 19:06:48,2017-03-02 19:19:05,5,1.84,1,N,230,249,1,9.5,1,0.5,2.26,0,0.3,13.56
2,2017-03-02 19:30:42,2017-03-02 19:33:12,2,.75,1,N,239,238,1,4.5,1,0.5,1,0,0.3,7.3
1,2017-03-02 19:54:52,2017-03-02 20:04:13,1,1.90,1,N,142,161,2,9,1,0.5,0,0,0.3,10.8
2,2017-03-02 20:19:45,2017-03-02 20:31:30,1,1.35,1,N,231,148,2,9,0.5,0.5,0,0,0.3,10.3
2,2017-03-02 20:44:57,2017-03-02 20:50:41,1,1.22,1,N,239,238,1,6.5,0.5,0.5,2.34,0,0.3,10.14
1,2017-03-11 12:43:53,2017-03-11 12:51:33,1,1.70,1,N,163,236,1,7.5,0,0.5,1.65,0,0.3,9.95
2,2017-03-02 21:12:25,2017-03-02 21:44:52,6,16.59,1,N,132,255,2,46.5,0.5,0.5,0,0,0.3,47.8
2,2017-03-02 21:38:11,2017-03-02 21:46:22,1,1.88,1,N,238,48,1,8,0.5,0.5,1,0,0.3,10.3
2,2017-03-02 22:03:27,2017-03-02 22:13:43,3,2.17,1,N,162,234,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,2017-03-02 22:29:58,2017-03-02 22:36:57,2,1.11,1,N,237,163,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-03-02 22:58:00,2017-03-02 23:01:00,1,1.01,1,N,238,24,1,5,0.5,0.5,0,0,0.3,6.3
2,2017-03-02 23:28:06,2017-03-02 23:34:51,1,1.95,1,N,132,132,1,8.5,0.5,0.5,1.96,0,0.3,11.76
1,2017-03-03 00:02:58,2017-03-03 00:13:20,1,1.70,1,N,211,107,2,9,0.5,0.5,0,0,0.3,10.3
1,2017-03-03 00:49:40,2017-03-03 01:10:34,1,7.30,1,N,125,227,1,24,0.5,0.5,6.3,0,0.3,31.6
1,2017-03-03 02:04:03,2017-03-03 02:08:52,1,.70,1,N,79,4,2,5,0.5,0.5,0,0,0.3,6.3
1,2017-03-11 13:22:15,2017-03-11 13:34:34,1,1.20,1,N,249,107,1,9,0,0.5,1.95,0,0.3,11.75
2,2017-03-03 05:01:04,2017-03-03 05:05:49,1,.68,1,N,162,233,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-03-03 06:44:26,2017-03-03 06:50:03,5,1.25,1,N,237,162,1,6.5,0,0.5,1,0,0.3,8.3
2,2017-03-03 07:27:50,2017-03-03 07:40:31,3,4.06,1,N,141,107,1,14,0,0.5,3,0,0.3,17.8
1,2017-03-03 07:58:40,2017-03-03 08:18:38,1,3.50,1,N,236,186,1,15.5,0,0.5,2.5,0,0.3,18.8
1,2017-03-03 08:28:31,2017-03-03 08:46:16,1,2.00,1,N,141,100,1,12,0,0.5,2,0,0.3,14.8
2,2017-03-03 08:57:46,2017-03-03 09:15:22,2,1.87,1,N,143,141,1,12,0,0.5,2.56,0,0.3,15.36
2,2017-03-03 09:29:02,2017-03-03 09:46:47,2,3.13,1,N,237,151,2,14.5,0,0.5,0,0,0.3,15.3
2,2017-03-03 10:02:32,2017-03-03 10:08:54,1,1.39,1,N,238,142,1,6.5,0,0.5,0,0,0.3,7.3
2,2017-03-03 10:39:03,2017-03-03 10:48:49,1,2.04,1,N,237,75,1,9,0,0.5,0,0,0.3,9.8
1,2017-03-11 13:29:19,2017-03-11 13:41:33,1,2.00,1,N,142,162,1,10,0,0.5,1,0,0.3,11.8
2,2017-03-03 11:18:38,2017-03-03 11:41:10,3,2.15,1,N,236,161,2,14.5,0,0.5,0,0,0.3,15.3
1,2017-03-03 11:52:36,2017-03-03 12:06:22,1,1.80,1,N,140,137,2,11,0,0.5,0,0,0.3,11.8
