ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-01-15 13:21:32,2017-01-15 13:29:59,1,1.21,1,N,186,107,1,7.5,0,0.5,1.66,0,0.3,9.96
2,2017-01-15 13:57:18,2017-01-15 14:07:19,1,1.03,1,N,79,114,1,8,0,0.5,2,0,0.3,10.8
2,2017-01-15 14:33:36,2017-01-15 14:50:35,1,2.86,1,N,236,48,2,13,0,0.5,0,0,0.3,13.8
2,2017-01-15 15:08:43,2017-01-15 15:14:27,1,1.07,1,N,238,143,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-15 15:42:52,2017-01-15 16:04:29,1,7.44,1,N,138,80,1,23.5,0,0.5,5.7,0,0.3,30
2,2017-01-15 16:15:57,2017-01-15 16:18:36,2,.78,1,N,137,107,1,4.5,0,0.5,1.06,0,0.3,6.36
1,2017-01-15 16:50:04,2017-01-15 17:10:34,1,6.20,1,N,88,161,1,20,1,0.5,4.35,0,0.3,26.15
2,2017-01-15 17:24:46,2017-01-15 17:39:58,1,2.00,1,N,237,142,1,11.5,0,0.5,3.08,0,0.3,15.38
2,2017-01-15 17:59:32,2017-01-15 18:09:01,1,1.74,1,N,142,246,2,8.5,0,0.5,0,0,0.3,9.3
2,2017-01-15 18:33:38,2017-01-15 18:56:04,2,4.61,1,N,143,145,1,19,0,0.5,3.96,0,0.3,23.76
2,2017-01-15 19:08:05,2017-01-15 19:24:54,1,2.86,1,N,234,232,2,13.5,0,0.5,0,0,0.3,14.3
2,2017-01-15 19:48:05,2017-01-15 19:50:31,2,.48,1,N,141,141,1,4,0,0.5,0.96,0,0.3,5.76
1,2017-01-15 20:26:16,2017-01-15 20:31:55,2,1.40,1,N,141,262,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2017-01-15 21:07:16,2017-01-15 21:18:50,1,1.40,1,N,158,125,1,9,0.5,0.5,2.55,0,0.3,12.85
2,2017-01-15 21:48:37,2017-01-15 21:52:11,5,.69,1,N,83,82,1,4.5,0.5,0.5,1.74,0,0.3,7.54
2,2017-01-15 22:30:10,2017-01-15 22:36:03,1,1.28,1,N,164,233,1,6,0.5,0.5,1.1,0,0.3,8.4
1,2017-01-15 23:18:38,2017-01-15 23:23:03,1,.90,1,N,79,79,1,5,0.5,0.5,1,0,0.3,7.3
2,2017-01-01 17:46:14,2017-01-01 18:28:41,1,21.28,2,N,132,239,1,52,0,0.5,14.58,5.54,0.3,72.92
2,2017-01-01 18:33:14,2017-01-01 18:42:22,1,1.43,1,N,90,233,1,8,0,0.5,1,0,0.3,9.8
2,2017-01-01 19:21:33,2017-01-01 19:48:33,1,5.62,1,N,107,61,1,22,0,0.5,4.56,0,0.3,27.36
1,2017-01-01 20:11:37,2017-01-01 20:19:26,1,1.60,1,N,144,224,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2017-01-01 21:08:26,2017-01-01 21:29:50,2,8.80,1,N,249,129,1,26,0.5,0.5,6.55,5.54,0.3,39.39
1,2017-01-01 22:06:15,2017-01-01 22:09:27,1,.70,1,N,263,263,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,2017-01-01 23:10:25,2017-01-01 23:25:16,1,1.40,1,N,229,230,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,2017-01-22 01:29:36,2017-01-22 01:39:27,1,2.00,1,N,249,87,1,9,0.5,0.5,2.05,0,0.3,12.35
2,2017-01-16 15:45:19,2017-01-16 15:50:14,1,.90,1,N,144,113,1,5.5,0,0.5,1.26,0,0.3,7.56
1,2017-01-16 16:22:07,2017-01-16 16:31:44,1,1.10,1,N,162,140,1,8,0,0.5,2.6,0,0.3,11.4
2,2017-01-16 17:00:42,2017-01-16 17:05:03,2,1.05,1,N,140,263,1,5.5,0,0.5,0.02,0,0.3,6.32
2,2017-01-16 17:36:48,2017-01-16 17:49:48,1,2.75,1,N,141,238,1,11.5,0,0.5,2.46,0,0.3,14.76
2,2017-01-16 18:11:13,2017-01-16 18:30:49,1,5.33,1,N,261,230,1,19,0,0.5,3.96,0,0.3,23.76
1,2017-01-16 18:44:34,2017-01-16 19:12:40,2,10.00,1,N,79,89,1,31.5,0,0.5,6.45,0,0.3,38.75
2,2017-01-16 19:19:12,2017-01-16 19:21:47,1,.38,1,N,164,234,1,4,0,0.5,0.7,0,0.3,5.5
2,2017-01-16 19:57:40,2017-01-16 20:11:14,1,2.46,1,N,113,229,1,11.5,0,0.5,1.84,0,0.3,14.14
2,2017-01-16 20:41:49,2017-01-16 21:15:55,4,19.36,2,N,132,209,1,52,0,0.5,0,0,0.3,52.8
1,2017-01-16 21:28:27,2017-01-16 21:33:37,1,1.20,1,N,125,261,1,6,0.5,0.5,1,0,0.3,8.3
2,2017-01-16 22:16:30,2017-01-16 22:25:09,1,1.92,1,N,144,170,1,9,0.5,0.5,1,0,0.3,11.3
2,2017-01-16 23:15:08,2017-01-16 23:34:34,2,8.39,1,N,107,116,1,25.5,0.5,0.5,5.36,0,0.3,32.16
2,2017-01-17 00:56:52,2017-01-17 01:09:08,6,2.96,1,N,142,41,1,12.5,0.5,0.5,1,0,0.3,14.8
1,2017-01-17 05:40:28,2017-01-17 05:41:41,1,.40,1,N,140,140,1,3.5,0.5,0.5,1.2,0,0.3,6
2,2017-01-17 06:54:57,2017-01-17 06:56:20,2,.31,1,N,186,186,2,3.5,0,0.5,0,0,0.3,4.3
2,2017-01-17 07:35:38,2017-01-17 07:55:06,2,2.23,1,N,163,75,1,13.5,0,0.5,3.58,0,0.3,17.88
2,2017-01-17 08:07:21,2017-01-17 09:28:05,1,21.15,2,N,132,211,1,52,0,0.5,13.2,0,0.3,66
1,2017-01-17 08:38:27,2017-01-17 08:55:16,1,1.00,1,N,230,246,1,11,0,0.5,3.5,0,0.3,15.3
